,Unit Id,Grand total,Black total,Hispanic total,Grand total women,Year,UNITID,HRTOTLT,DVHRBKT,DVHRHST,HRBKAAT,HRTOTLW,HRHISPT
8562,123095.0,11.0,0.0,0.0,7.0,2002,,,,,,,
8592,123208.0,31.0,4.0,0.0,31.0,2002,,,,,,,
8630,123217.0,176.0,9.0,16.0,91.0,2002,,,,,,,
8679,123341.0,203.0,6.0,8.0,98.0,2002,,,,,,,
8726,123448.0,6.0,0.0,0.0,5.0,2002,,,,,,,
8757,123484.0,52.0,1.0,3.0,34.0,2002,,,,,,,
8807,123509.0,125.0,7.0,20.0,62.0,2002,,,,,,,
8851,123527.0,170.0,21.0,25.0,79.0,2002,,,,,,,
8904,123563.0,157.0,14.0,11.0,77.0,2002,,,,,,,
8950,123642.0,3.0,0.0,0.0,1.0,2002,,,,,,,
8976,123855.0,16.0,0.0,3.0,13.0,2002,,,,,,,
9010,123943.0,31.0,0.0,0.0,17.0,2002,,,,,,,
9052,123961.0,2608.0,70.0,91.0,1811.0,2002,,,,,,,
9121,124113.0,44.0,1.0,1.0,26.0,2002,,,,,,,
9176,124292.0,29.0,0.0,1.0,26.0,2002,,,,,,,
9214,124937.0,22.0,5.0,2.0,9.0,2002,,,,,,,
9274,125028.0,160.0,9.0,29.0,84.0,2002,,,,,,,
9330,125091.0,154.0,5.0,16.0,90.0,2002,,,,,,,
9378,125170.0,34.0,3.0,4.0,17.0,2002,,,,,,,
9416,125462.0,87.0,5.0,6.0,49.0,2002,,,,,,,
9465,125471.0,125.0,23.0,12.0,64.0,2002,,,,,,,
9522,125499.0,205.0,8.0,16.0,91.0,2002,,,,,,,
9574,125727.0,83.0,0.0,3.0,59.0,2002,,,,,,,
9630,125763.0,122.0,3.0,7.0,68.0,2002,,,,,,,
9683,126119.0,135.0,5.0,13.0,72.0,2002,,,,,,,
9740,126182.0,90.0,0.0,10.0,53.0,2002,,,,,,,
9793,126359.0,20.0,0.0,0.0,5.0,2002,,,,,,,
9826,126562.0,548.0,9.0,26.0,309.0,2002,,,,,,,
9878,126580.0,265.0,7.0,14.0,154.0,2002,,,,,,,
9947,126614.0,2288.0,27.0,78.0,1546.0,2002,,,,,,,
10018,126669.0,47.0,0.0,0.0,28.0,2002,,,,,,,
