,Unit Id,Grand total enrolled,Black total enrolled,Hispanic total enrolled,Total women enrolled,Year
49502,120953,476,54,266,158,2017
49503,120971,7190,216,3160,3438,2017
49504,121044,10422,342,4680,5159,2017
49505,121150,3300,133,465,1975,2017
49506,121257,1046,64,153,567,2017
49507,121275,178,13,47,53,2017
49508,121309,2571,48,592,1630,2017
49509,121345,1578,148,253,782,2017
49510,121363,1698,10,1335,1019,2017
49511,121433,88,0,81,85,2017
49512,121619,5469,74,3959,2803,2017
49513,121637,71,2,6,69,2017
49514,121691,2518,88,757,1478,2017
49515,121707,1602,76,311,850,2017
49516,121859,140,15,81,120,2017
49517,121868,79,12,30,79,2017
49518,121886,4406,40,3832,2298,2017
49519,121901,5826,446,3482,3229,2017
49520,121983,32,8,8,15,2017
49521,121992,298,0,0,253,2017
49522,122117,22,1,1,9,2017
49523,122180,5219,482,1746,2770,2017
49524,122205,5831,100,1507,2828,2017
49525,122296,564,22,132,436,2017
49526,122339,3378,328,2052,1841,2017
49527,122366,103,7,5,7,2017
49528,122375,5706,381,2204,2916,2017
49529,122384,2766,95,696,1086,2017
49530,122409,27040,1074,8164,14715,2017
49531,122436,5605,201,1098,3068,2017
49532,122454,279,5,45,172,2017
49533,122506,204,12,13,88,2017
49534,122597,22263,1147,7476,12695,2017
49535,122612,6586,259,1426,4126,2017
49536,122658,6440,528,3029,3618,2017
49537,122685,5239,413,2679,3641,2017
49538,122728,987,57,192,578,2017
49539,122746,2134,159,1034,1245,2017
49540,122755,23097,822,6465,11166,2017
49541,122791,2479,72,639,1101,2017
49542,122834,332,23,234,241,2017
49543,122852,78,1,61,58,2017
49544,122889,6509,190,2235,3271,2017
49545,122931,5412,176,960,2702,2017
49546,122977,11095,733,3700,5546,2017
49547,123013,6329,142,2313,3357,2017
49548,123165,1060,38,141,1060,2017
49549,123217,5169,138,3583,2830,2017
49550,123280,23,0,1,9,2017
49551,123299,3388,75,560,1971,2017
49552,123341,6448,209,1692,3434,2017
49553,123350,107,7,62,79,2017
49554,123457,619,24,104,388,2017
49555,123484,832,50,156,383,2017
49556,123493,347,46,94,221,2017
