,Unnamed: 0,names
374,376,US CS Private (34): Boston University
375,377,US CS Private (37): Boston University
376,378,US CS Private (40): Boston University
377,379,US CS Private (42): Boston University
378,380,US Information (13): Cornell
379,381,US Information (14): Cornell
380,382,US Information (15): Cornell
381,383,US Information (16): Cornell
382,384,Universities
383,385,Universities at Albany and Buffalo
384,386,Universities at Albany and Buffalo (SUNY)
385,387,Universities of Alabama (Birmingham
386,388,Universities of British Columbia
387,389,Universities of California (Berkeley
388,390,Universities of California (Santa Cruz)
389,391,Universities of Chicago
390,392,Universities of: Alabama (Birmingham
391,393,Universities of: Alabama (Birmingham and Tuscaloosa)
392,394,Universities of: Alabama (Tuscaloosa)
393,395,Universities of: Alberta
394,396,Universities of: Arizona
395,397,Universities of: British Columbia
396,398,Universities of: California (Berkeley and Santa Cruz)
397,399,Universities of: California (Berkeley)
398,400,Universities of: California (Santa Cruz)
399,401,Universities of: Central Florida
400,402,Universities of: Central Florida and Illinois (Chicago and Urbana-Champaign)
401,403,Universities of: Central Florida and Illinois (Urbana-Champaign).
402,404,Universities of: Chicago
403,405,Universities of: Illinois (Urbana Champaign)
404,406,Universities of: Manitoba
405,407,University
406,408,University at Albany
407,409,University at Albany (SUNY)
408,410,University at Albany (SUNY); Universities of California (Berkeley
409,411,University at Buffalo
410,412,University of California (Santa Cruz)
411,413,University of Illinois (Urbana-Champaign)
412,414,University of New York (Albany and Binghamton)
413,415,University of Texas (Austin).
414,416,University of: Alabama (Birming- ham
415,417,University of: Alabama (Birmingham
416,418,University of: Alabama (Birmingham and Tuscaloosa)
417,419,Utah
418,420,Utah State
419,421,Vanderbilt
420,422,Vermont
421,423,Victoria
422,424,Virginia
423,425,Virginia Commonwealth
424,426,Virginia Polytechnic
425,427,Virginia Tech
426,428,Virginia Tech; and the Universities of: California (Santa Cruz)
427,429,Washington
428,430,Washington
429,431,Washington (St. Louis)
430,432,Washington Human Centered Design & Engineering
431,433,Washington Human-Centered Design & Engr
432,434,Washington State
433,435,Washington University in St. Louis
434,436,Washington in St. Louis
435,437,Washington (St. Louis)
436,438,Waterloo
437,439,Waterloo.
438,440,Wayne State
439,441,West Virginia
440,442,Western Michgan
441,443,Western Michigan
442,444,Western Ontario
443,445,Wisconsin (Madison
444,446,Wisconsin (Madison and Milwaukee)
445,447,Wisconsin (Madison)
446,448,Wisconsin (Milwaukee) and Wyoming.
447,449,Wisconsin (Milwaukee) and Wyoming.
448,450,Worcester Polytechnic
449,451,Worcester Polytechnic Institute
450,452,Wyoming
451,453,York universities. University of: Alberta
452,454,York.
453,455,and
454,456,and Baltimore County)
455,457,and Denver)
456,458,and El Paso)
457,459,and Lincoln)
458,460,and Lowell)
459,461,and Milwaukee)
460,462,and New Mexico.
461,463,and Rochester
462,464,and San Antonio)
463,465,and Santa
464,466,and Santa Cruz
465,467,and Santa Cruz)
466,468,and Simon Fraser universities. University of: Alberta
467,469,and Southern
468,470,and Southern California
469,471,and Southern California.
470,472,and Southern California; Virginia Tech.
471,473,and Syracuse Universities
472,474,and Tennessee (Knoxville).
473,475,and Texas (Austin).
474,476,and Tulsa
475,477,and Tulsa; Washington University in St. Louis
476,478,and Tuscaloosa)
477,479,and Universite Laval.
478,480,and Universities of: California (Berkeley)
479,481,and Université Laval.
480,482,and Virginia Tech.
481,483,and Washington.
482,484,and Washington. I-programs at Indiana University and University of California (Irvine) also submitted information combined with their CS programs.
483,485,and Waterloo
484,486,and Western Ontario
485,487,and Western Ontario.
486,488,and Western Ontario; York.
487,489,and Wisconsin (Milwaukee).
488,490,and Wright State.
489,491,and Wyoming
490,492,and Wyoming.
491,493,and Wyoming; Virginia Commonwealth
492,494,and Wyoming; Virginia Tech
493,495,and Yale.
494,496,and York Universities
495,497,"and York Universities, and the Universities of: Alberta"
496,498,and York University.
497,499,and York uni- versities. University of: Alberta
498,500,and York universities. University of: Alberta
499,501,and York.
500,502,and the Universites of: California (Berkeley
501,503,and the Universities of California (Santa Barbara and Santa Cruz) and New Mexico.
502,504,and the Universities of California (Santa Cruz)
503,505,and the Universities of Tennessee (Knoxville)
504,506,and the Universities of: Alberta
505,507,and the Universities of: California (Berkeley
506,508,and the University of California (Santa Cruz).
507,509,and the University of New Mexico.
508,510,and El Paso)
509,511,of Mines
510,512,of Technology
511,513,of: Alabama (Birmingham)
512,514,the Universities at Albany and Buffalo (SUNY); Universities of Alabama (Birmingham and Tuscaloosa)
513,515,the University of Tennessee (Knoxville)
