,unitid,sabdtype,line,xstaff01,staff01,xstaff02,staff02,xstaff03,staff03,xstaff04,staff04,xstaff05,staff05,xstaff06,staff06,xstaff07,staff07,xstaff08,staff08,xstaff09,staff09,xstaff10,staff10,xstaff11,staff11,xstaff12,staff12,xstaff13,staff13,xstaff14,staff14,xstaff15,staff15,xstaff16,staff16,xstaff17,staff17,xstaff18,staff18,xstaff19,staff19,xstaff20,staff20,xstaff21,staff21,xstaff22,staff22,xstaff23,staff23,xstaff24,staff24,Year
3607,104188,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,2006
3627,104346,11,18,Z,0,Z,0,R,1,R,4,R,1,Z,0,R,1,R,1,R,2,R,3,R,39,R,41,R,1,R,1,R,45,R,50,Z,0,R,5,R,1,R,2,R,5,R,80,R,2,R,95,2006
3678,104364,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6,R,3,R,0,R,0,R,6,R,3,R,0,R,0,R,0,R,0,R,0,R,9,R,0,R,9,2006
3704,104425,11,18,Z,0,Z,0,R,1,R,1,R,1,R,1,Z,0,R,3,R,4,R,6,R,49,R,27,R,6,R,3,R,61,R,41,Z,0,R,2,R,2,R,3,R,10,R,76,R,9,R,102,2006
3754,104531,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,27,R,8,R,0,R,0,R,27,R,8,R,0,R,0,R,0,R,0,R,0,R,35,R,0,R,35,2006
3792,104577,11,18,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,R,1,R,6,R,2,R,56,R,25,Z,0,Z,0,R,62,R,30,Z,0,R,1,R,1,R,1,R,8,R,81,Z,0,R,92,2006
3846,104586,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,3,R,4,R,1,Z,0,R,65,R,10,Z,0,Z,0,R,69,R,15,Z,0,R,1,Z,0,R,7,R,1,R,75,Z,0,R,84,2006
3897,104708,11,18,R,0,R,3,R,5,R,8,R,1,R,3,R,4,R,3,R,16,R,10,R,109,R,121,R,0,R,0,R,135,R,148,R,3,R,13,R,4,R,7,R,26,R,230,R,0,R,283,2006
3948,104717,11,18,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,R,1,R,1,Z,0,R,1,R,21,R,22,R,2,R,2,R,24,R,28,Z,0,R,2,Z,0,R,2,R,1,R,43,R,4,R,52,2006
4002,104805,11,18,Z,0,Z,0,R,8,R,3,Z,0,Z,0,R,2,R,1,R,3,R,1,R,13,R,3,Z,0,Z,0,R,26,R,8,Z,0,R,11,Z,0,R,3,R,4,R,16,Z,0,R,34,2006
4036,104984,11,18,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,3,R,5,Z,0,Z,0,R,4,R,8,Z,0,R,2,Z,0,Z,0,R,2,R,8,Z,0,R,12,2006
4061,105118,11,18,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,5,R,12,Z,0,Z,0,R,5,R,14,Z,0,R,1,R,1,Z,0,Z,0,R,17,Z,0,R,19,2006
4091,105136,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,2006
4133,105145,11,18,R,0,R,0,R,2,R,6,R,1,R,0,R,1,R,4,R,4,R,1,R,28,R,63,R,0,R,0,R,36,R,74,R,0,R,8,R,1,R,5,R,5,R,91,R,0,R,110,2006
4181,105154,11,18,R,1,R,3,R,12,R,8,R,3,R,0,R,2,R,11,R,14,R,12,R,122,R,150,R,0,R,0,R,154,R,184,R,4,R,20,R,3,R,13,R,26,R,272,R,0,R,338,2006
4231,105163,11,18,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,9,R,2,Z,0,Z,0,R,10,R,2,Z,0,Z,0,R,1,Z,0,Z,0,R,11,Z,0,R,12,2006
4258,105172,11,18,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,8,Z,0,R,1,Z,0,R,11,R,1,Z,0,R,2,Z,0,R,1,Z,0,R,8,R,1,R,12,2006
4288,105206,11,18,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,31,R,20,Z,0,R,4,R,33,R,24,Z,0,R,2,Z,0,Z,0,Z,0,R,51,R,4,R,57,2006
4328,105297,11,18,R,0,R,0,R,2,R,0,R,15,R,10,R,2,R,2,R,0,R,0,R,16,R,13,R,0,R,0,R,35,R,25,R,0,R,2,R,25,R,4,R,0,R,29,R,0,R,60,2006
4365,105330,11,18,R,8,R,3,R,7,R,4,R,10,R,17,R,9,R,11,R,12,R,24,R,373,R,281,R,7,R,8,R,426,R,348,R,11,R,11,R,27,R,20,R,36,R,654,R,15,R,774,2006
4428,105349,11,18,R,0,R,0,R,0,R,1,R,2,R,0,R,0,R,0,R,2,R,3,R,41,R,32,R,0,R,0,R,45,R,36,R,0,R,1,R,2,R,0,R,5,R,73,R,0,R,81,2006
4476,105367,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,4,Z,0,Z,0,R,2,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,R,6,Z,0,R,6,2006
4504,105428,11,18,R,0,R,0,R,2,R,4,R,2,R,3,R,3,R,3,R,11,R,24,R,51,R,79,R,0,R,0,R,69,R,113,R,0,R,6,R,5,R,6,R,35,R,130,R,0,R,182,2006
4553,105516,11,18,Z,0,Z,0,R,3,R,4,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,31,R,27,R,4,R,1,R,39,R,32,R,0,R,7,R,0,R,0,R,1,R,58,R,5,R,71,2006
4605,105525,11,18,R,3,R,4,R,5,Z,0,R,1,R,3,R,5,R,2,R,9,R,30,R,117,R,142,R,3,R,1,R,143,R,182,R,7,R,5,R,4,R,7,R,39,R,259,R,4,R,325,2006
4653,105534,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,4,R,4,Z,0,R,7,R,5,R,11,Z,0,Z,0,Z,0,R,1,Z,0,R,8,R,7,R,16,2006
4683,105543,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,2,R,4,R,7,Z,0,Z,0,R,6,R,9,Z,0,Z,0,Z,0,R,1,R,3,R,11,Z,0,R,15,2006
4714,105589,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,R,1,R,33,R,28,Z,0,Z,0,R,34,R,30,Z,0,Z,0,Z,0,R,1,R,2,R,61,Z,0,R,64,2006
4763,105659,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,12,Z,0,Z,0,Z,0,R,13,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,12,Z,0,R,13,2006
4791,105668,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,2,R,6,R,18,R,0,R,0,R,7,R,20,R,0,R,0,R,0,R,0,R,3,R,24,R,0,R,27,2006
4838,105747,11,18,R,0,R,0,R,1,R,2,R,3,R,1,R,4,R,2,R,4,R,6,R,73,R,76,R,0,R,0,R,85,R,87,R,0,R,3,R,4,R,6,R,10,R,149,R,0,R,172,2006
4885,105792,11,18,R,0,R,1,R,4,R,4,R,0,R,1,R,1,R,2,R,7,R,7,R,17,R,18,R,0,R,0,R,29,R,33,R,1,R,8,R,1,R,3,R,14,R,35,R,0,R,62,2006
4930,105899,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,5,Z,0,Z,0,R,5,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,Z,0,R,10,2006
4963,106041,11,18,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,4,R,0,R,75,R,1,R,0,R,0,R,80,R,1,R,0,R,0,R,1,R,0,R,4,R,76,R,0,R,81,2006
5029,106148,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,R,1,R,47,R,42,R,6,R,6,R,55,R,51,Z,0,Z,0,Z,0,R,2,R,3,R,89,R,12,R,106,2006
5084,106245,11,18,Z,0,Z,0,R,12,R,17,R,1,Z,0,R,30,R,10,R,4,R,6,R,220,R,169,R,3,R,2,R,270,R,204,Z,0,R,29,R,1,R,40,R,10,R,389,R,5,R,474,2006
5147,106263,11,18,Z,0,Z,0,R,2,R,11,R,1,R,0,R,52,R,31,R,5,R,5,R,214,R,148,R,0,R,0,R,274,R,195,Z,0,R,13,R,1,R,83,R,10,R,362,R,0,R,469,2006
5205,106306,11,18,Z,0,Z,0,C,5,C,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,C,5,C,8,Z,0,C,12,Z,0,Z,0,Z,0,R,1,Z,0,C,13,2006
5239,106342,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,R,1,R,30,R,9,R,1,Z,0,R,34,R,10,Z,0,R,1,Z,0,R,2,R,1,R,39,R,1,R,44,2006
5289,106397,11,18,R,37,R,9,R,18,R,19,R,7,R,5,R,36,R,13,R,9,R,5,R,528,R,274,R,10,R,12,R,645,R,337,R,46,R,37,R,12,R,49,R,14,R,802,R,22,R,982,2006
5363,106412,11,18,Z,0,Z,0,R,43,R,57,Z,0,R,1,R,18,R,3,Z,0,Z,0,R,28,R,14,Z,0,Z,0,R,89,R,75,Z,0,R,100,R,1,R,21,Z,0,R,42,Z,0,R,164,2006
5420,106449,11,18,Z,0,Z,0,R,1,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,R,58,R,59,Z,0,Z,0,R,60,R,60,Z,0,R,1,R,1,R,1,Z,0,R,117,Z,0,R,120,2006
5470,106458,11,18,R,11,R,9,R,12,R,22,R,1,R,1,R,11,R,4,R,5,R,1,R,211,R,211,R,0,R,1,R,251,R,249,R,20,R,34,R,2,R,15,R,6,R,422,R,1,R,500,2006
5534,106467,11,18,Z,0,Z,0,R,1,R,2,Z,0,R,1,R,11,R,3,R,3,Z,0,R,134,R,130,Z,0,Z,0,R,149,R,136,Z,0,R,3,R,1,R,14,R,3,R,264,Z,0,R,285,2006
5601,106485,11,18,R,3,R,1,R,4,R,5,Z,0,Z,0,R,3,Z,0,Z,0,R,2,R,71,R,60,Z,0,Z,0,R,81,R,68,R,4,R,9,Z,0,R,3,R,2,R,131,Z,0,R,149,2006
5662,106625,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,C,20,C,41,Z,0,Z,0,C,20,C,41,Z,0,Z,0,Z,0,Z,0,Z,0,C,61,Z,0,C,61,2006
5707,106704,11,18,R,0,R,0,R,12,R,9,R,0,R,1,R,17,R,9,R,3,R,0,R,240,R,218,R,0,R,1,R,272,R,238,R,0,R,21,R,1,R,26,R,3,R,458,R,1,R,510,2006
5768,106713,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12,R,5,Z,0,Z,0,R,12,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,R,17,Z,0,R,17,2006
5801,106795,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,9,R,16,Z,0,Z,0,R,10,R,16,Z,0,Z,0,Z,0,Z,0,R,1,R,25,Z,0,R,26,2006
5847,106810,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6,R,2,Z,0,Z,0,R,6,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,R,8,Z,0,R,8,2006
5876,106883,11,18,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,13,R,23,Z,0,Z,0,R,13,R,26,Z,0,R,2,Z,0,R,1,Z,0,R,36,Z,0,R,39,2006
5925,106980,11,18,Z,0,Z,0,Z,0,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,39,R,54,Z,0,Z,0,R,39,R,58,Z,0,R,4,Z,0,Z,0,Z,0,R,93,Z,0,R,97,2006
5971,106999,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,R,17,R,30,Z,0,Z,0,R,18,R,31,Z,0,Z,0,Z,0,Z,0,R,2,R,47,Z,0,R,49,2006
6019,107044,11,18,Z,0,Z,0,R,1,R,3,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,R,170,R,72,R,1,Z,0,R,174,R,75,Z,0,R,4,R,2,Z,0,Z,0,R,242,R,1,R,249,2006
6083,107071,11,18,Z,0,Z,0,R,2,R,5,R,1,Z,0,R,3,R,3,R,4,Z,0,R,87,R,55,R,1,Z,0,R,98,R,63,Z,0,R,7,R,1,R,6,R,4,R,142,R,1,R,161,2006
6142,107080,11,18,R,3,Z,0,R,1,R,1,Z,0,Z,0,R,1,R,2,R,2,R,2,R,51,R,28,R,0,Z,0,R,58,R,33,R,3,R,2,Z,0,R,3,R,4,R,79,Z,0,R,91,2006
6189,107141,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,2,R,1,R,58,R,16,Z,0,Z,0,R,60,R,19,Z,0,Z,0,R,1,R,1,R,3,R,74,Z,0,R,79,2006
6242,107318,11,18,Z,0,Z,0,R,5,R,4,Z,0,Z,0,R,3,Z,0,Z,0,Z,0,R,12,R,11,Z,0,Z,0,R,20,R,15,Z,0,R,9,Z,0,R,3,Z,0,R,23,Z,0,R,35,2006
6283,107327,11,18,Z,0,Z,0,Z,0,R,4,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,C,23,C,48,Z,0,Z,0,C,24,C,52,Z,0,R,4,Z,0,R,1,Z,0,C,71,Z,0,C,76,2006
6329,107460,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,32,R,35,Z,0,Z,0,R,32,R,36,Z,0,Z,0,Z,0,Z,0,R,1,R,67,Z,0,R,68,2006
6377,107512,11,18,R,1,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,0,R,0,R,74,R,38,R,0,R,0,R,77,R,38,R,1,R,0,R,0,R,2,R,0,R,112,R,0,R,115,2006
6425,107521,11,18,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,13,R,23,Z,0,Z,0,R,13,R,25,Z,0,R,2,Z,0,Z,0,Z,0,R,36,Z,0,R,38,2006
6472,107549,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,1,R,10,R,21,Z,0,Z,0,R,10,R,23,Z,0,Z,0,R,1,Z,0,R,1,R,31,Z,0,R,33,2006
6518,107558,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,2,R,1,R,1,R,31,R,10,Z,0,Z,0,R,32,R,14,Z,0,Z,0,R,1,R,2,R,2,R,41,Z,0,R,46,2006
6554,107585,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,26,R,27,Z,0,Z,0,R,26,R,27,Z,0,Z,0,Z,0,Z,0,Z,0,R,53,Z,0,R,53,2006
6591,107600,11,18,Z,0,Z,0,R,17,R,14,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,8,R,7,Z,0,Z,0,R,25,R,22,Z,0,R,31,Z,0,Z,0,R,1,R,15,Z,0,R,47,2006
6636,107619,11,18,Z,0,Z,0,R,1,R,9,Z,0,Z,0,Z,0,R,1,R,1,R,1,R,16,R,43,Z,0,Z,0,R,18,R,54,Z,0,R,10,Z,0,R,1,R,2,R,59,Z,0,R,72,2006
6690,107637,11,18,Z,0,Z,0,R,1,R,12,Z,0,Z,0,R,1,Z,0,Z,0,R,1,R,14,R,23,Z,0,Z,0,R,16,R,36,Z,0,R,13,Z,0,R,1,R,1,R,37,Z,0,R,52,2006
6729,107664,11,18,Z,0,Z,0,R,2,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,70,R,59,Z,0,Z,0,R,72,R,65,Z,0,R,8,Z,0,Z,0,Z,0,R,129,Z,0,R,137,2006
6778,107725,11,18,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,19,R,17,Z,0,Z,0,R,21,R,17,Z,0,R,2,Z,0,Z,0,Z,0,R,36,Z,0,R,38,2006
6823,107743,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,R,12,Z,0,Z,0,R,10,R,12,Z,0,Z,0,Z,0,Z,0,Z,0,R,22,Z,0,R,22,2006
6862,107877,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,18,R,10,Z,0,Z,0,R,18,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,R,28,Z,0,R,28,2006
6894,107974,11,18,Z,0,Z,0,R,1,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,14,R,38,Z,0,Z,0,R,15,R,43,Z,0,R,6,Z,0,Z,0,Z,0,R,52,Z,0,R,58,2006
6939,107983,11,18,Z,0,Z,0,R,9,R,3,Z,0,Z,0,R,8,R,1,Z,0,Z,0,R,73,R,56,R,2,Z,0,R,92,R,60,Z,0,R,12,Z,0,R,9,Z,0,R,129,R,2,R,152,2006
6996,107992,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,16,R,13,Z,0,Z,0,R,16,R,14,Z,0,R,1,Z,0,Z,0,Z,0,R,29,Z,0,R,30,2006
7069,108092,11,18,R,3,R,1,R,2,R,2,R,2,R,2,R,1,Z,0,R,1,R,6,R,96,R,87,Z,0,Z,0,R,105,R,98,R,4,R,4,R,4,R,1,R,7,R,183,Z,0,R,203,2006
7127,108232,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9,R,4,R,5,R,1,R,59,R,51,R,19,R,10,R,92,R,66,Z,0,Z,0,Z,0,R,13,R,6,R,110,R,29,R,158,2006
7182,108250,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,2,R,1,R,9,R,1,Z,0,Z,0,R,12,R,2,Z,0,Z,0,Z,0,R,1,R,3,R,10,Z,0,R,14,2006
7232,108667,11,18,R,0,R,0,R,9,R,12,R,0,R,0,R,6,R,7,R,6,R,2,R,20,R,14,R,2,R,1,R,43,R,36,R,0,R,21,R,0,R,13,R,8,R,34,R,3,R,79,2006
7276,108807,11,18,R,0,R,0,R,2,R,2,R,2,R,1,R,5,R,6,R,10,R,9,R,58,R,61,R,3,R,5,R,80,R,84,R,0,R,4,R,3,R,11,R,19,R,119,R,8,R,164,2006
7329,108852,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,2006
7362,108870,11,18,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,11,R,2,Z,0,Z,0,R,12,R,4,Z,0,R,2,Z,0,Z,0,R,1,R,13,Z,0,R,16,2006
7404,109013,11,18,R,0,R,0,R,2,R,2,R,1,R,0,R,3,R,1,R,0,R,0,R,12,R,11,R,0,R,0,R,18,R,14,R,0,R,4,R,1,R,4,R,0,R,23,R,0,R,32,2006
7443,109086,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,4,R,2,Z,0,Z,0,R,4,R,4,Z,0,R,1,Z,0,Z,0,R,1,R,6,Z,0,R,8,2006
7495,109208,11,18,R,2,R,2,R,9,R,9,R,9,R,1,R,16,R,22,R,15,R,22,R,122,R,143,R,16,R,12,R,189,R,211,R,4,R,18,R,10,R,38,R,37,R,265,R,28,R,400,2006
7552,109350,11,18,R,0,R,2,R,7,R,8,R,1,R,0,R,7,R,1,R,8,R,8,R,78,R,79,R,3,R,3,R,104,R,101,R,2,R,15,R,1,R,8,R,16,R,157,R,6,R,205,2006
7604,109651,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,C,11,C,2,R,3,Z,0,R,43,R,25,Z,0,Z,0,C,58,C,27,Z,0,R,1,Z,0,C,13,R,3,R,68,Z,0,C,85,2006
7650,109785,11,18,Z,0,Z,0,R,11,R,10,Z,0,R,1,R,19,R,16,R,8,R,8,R,146,R,124,R,4,R,9,R,188,R,168,Z,0,R,21,R,1,R,35,R,16,R,270,R,13,R,356,2006
7711,109819,11,18,R,0,R,0,R,6,R,6,R,0,R,1,R,3,R,5,R,14,R,15,R,101,R,95,R,3,R,10,R,127,R,132,R,0,R,12,R,1,R,8,R,29,R,196,R,13,R,259,2006
7765,109907,11,18,R,0,R,0,R,1,R,3,R,0,R,0,R,1,R,1,R,3,R,2,R,17,R,12,R,1,R,1,R,23,R,19,R,0,R,4,R,0,R,2,R,5,R,29,R,2,R,42,2006
7806,110051,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,14,R,7,Z,0,Z,0,R,15,R,8,Z,0,R,1,Z,0,R,1,Z,0,R,21,Z,0,R,23,2006
7842,110060,11,18,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,2,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,3,R,2,R,1,Z,0,Z,0,R,3,Z,0,R,1,Z,0,R,5,2006
7863,110097,11,18,R,1,Z,0,Z,0,R,1,Z,0,Z,0,R,9,R,7,R,3,R,6,R,136,R,42,Z,0,Z,0,R,149,R,56,R,1,R,1,Z,0,R,16,R,9,R,178,Z,0,R,205,2006
7920,110176,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,2,R,7,Z,0,Z,0,R,2,R,8,Z,0,Z,0,Z,0,Z,0,R,1,R,9,Z,0,R,10,2006
7953,110185,11,18,R,0,R,0,R,0,R,0,R,1,R,0,R,3,R,1,R,0,R,0,R,31,R,8,R,0,R,0,R,35,R,9,R,0,R,0,R,1,R,4,R,0,R,39,R,0,R,44,2006
7992,110219,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,R,5,Z,0,Z,0,R,4,R,6,Z,0,R,1,Z,0,Z,0,Z,0,R,9,Z,0,R,10,2006
8021,110246,11,18,R,0,R,0,R,1,R,0,R,1,R,0,R,4,R,3,R,3,R,9,R,81,R,78,R,1,R,4,R,91,R,94,R,0,R,1,R,1,R,7,R,12,R,159,R,5,R,185,2006
8080,110307,11,18,R,0,R,0,R,1,R,2,R,0,R,0,R,0,R,0,R,1,R,0,R,5,R,5,R,0,R,0,R,7,R,7,R,0,R,3,R,0,R,0,R,1,R,10,R,0,R,14,2006
8123,110316,11,18,Z,0,R,2,Z,0,R,2,Z,0,Z,0,R,3,R,4,Z,0,Z,0,R,26,R,13,Z,0,Z,0,R,29,R,21,R,2,R,2,Z,0,R,7,Z,0,R,39,Z,0,R,50,2006
8162,110334,11,18,R,2,R,3,R,0,R,3,R,1,R,0,R,5,R,6,R,11,R,18,R,92,R,121,R,2,R,0,R,113,R,151,R,5,R,3,R,1,R,11,R,29,R,213,R,2,R,264,2006
8208,110361,11,18,Z,0,Z,0,R,1,R,2,Z,0,R,2,R,4,Z,0,R,3,R,3,R,65,R,48,Z,0,Z,0,R,73,R,55,Z,0,R,3,R,2,R,4,R,6,R,113,Z,0,R,128,2006
8259,110370,11,18,Z,0,Z,0,C,3,C,1,Z,0,Z,0,C,1,C,3,R,5,Z,0,C,24,C,26,R,2,Z,0,C,35,C,30,Z,0,C,4,Z,0,C,4,R,5,C,50,R,2,C,65,2006
8303,110398,11,18,Z,0,R,2,R,2,R,1,Z,0,Z,0,R,3,R,3,R,1,R,1,R,30,R,19,Z,0,Z,0,R,36,R,26,R,2,R,3,Z,0,R,6,R,2,R,49,Z,0,R,62,2006
8347,110404,11,18,R,257,R,77,R,6,R,4,Z,0,Z,0,R,57,R,22,R,16,R,8,R,377,R,98,Z,0,Z,0,R,713,R,209,R,334,R,10,R,0,R,79,R,24,R,475,R,0,R,922,2006
8414,110413,11,18,Z,0,Z,0,R,3,R,1,R,1,Z,0,R,5,R,6,R,6,R,3,R,58,R,49,Z,0,Z,0,R,73,R,59,Z,0,R,4,R,1,R,11,R,9,R,107,Z,0,R,132,2006
8470,110422,11,18,R,1,R,1,R,6,R,3,R,0,R,0,R,41,R,21,R,28,R,11,R,424,R,178,R,13,R,11,R,513,R,225,R,2,R,9,R,0,R,62,R,39,R,602,R,24,R,738,2006
8530,110468,11,18,Z,0,R,1,R,4,R,7,Z,0,Z,0,R,5,R,4,R,6,R,3,R,43,R,36,R,24,R,19,R,82,R,70,R,1,R,11,Z,0,R,9,R,9,R,79,R,43,R,152,2006
8581,110486,11,18,R,0,R,1,R,5,R,6,R,0,R,0,R,19,R,15,R,19,R,14,R,100,R,118,R,0,R,0,R,143,R,154,R,1,R,11,R,0,R,34,R,33,R,218,R,0,R,297,2006
8637,110495,11,18,R,4,R,7,R,4,R,3,R,2,R,3,R,11,R,18,R,14,R,12,R,123,R,97,R,9,R,2,R,167,R,142,R,11,R,7,R,5,R,29,R,26,R,220,R,11,R,309,2006
8729,110510,11,18,R,0,R,0,R,9,R,13,R,2,R,2,R,26,R,21,R,22,R,24,R,184,R,152,R,11,R,5,R,254,R,217,R,0,R,22,R,4,R,47,R,46,R,336,R,16,R,471,2006
8789,110529,11,18,R,3,R,0,R,12,R,12,R,2,R,1,R,74,R,45,R,28,R,16,R,231,R,144,R,25,R,10,R,375,R,228,R,3,R,24,R,3,R,119,R,44,R,375,R,35,R,603,2006
8848,110538,11,18,R,1,R,0,R,6,R,3,R,2,R,0,R,34,R,18,R,14,R,14,R,285,R,180,R,2,R,4,R,344,R,219,R,1,R,9,R,2,R,52,R,28,R,465,R,6,R,563,2006
8910,110547,11,18,R,3,R,1,R,14,R,17,R,0,R,0,R,23,R,18,R,14,R,16,R,109,R,96,R,4,R,3,R,167,R,151,R,4,R,31,R,0,R,41,R,30,R,205,R,7,R,318,2006
8968,110556,11,18,R,3,R,6,R,12,R,15,R,2,R,2,R,71,R,31,R,40,R,19,R,284,R,205,R,17,R,9,R,429,R,287,R,9,R,27,R,4,R,102,R,59,R,489,R,26,R,716,2006
9030,110565,11,18,R,4,R,0,R,13,R,13,R,2,R,2,R,88,R,66,R,28,R,27,R,344,R,316,R,0,R,0,R,479,R,424,R,4,R,26,R,4,R,154,R,55,R,660,R,0,R,903,2006
9091,110574,11,18,R,1,R,2,R,15,R,13,R,2,R,0,R,31,R,36,R,16,R,10,R,110,R,99,R,8,R,9,R,183,R,169,R,3,R,28,R,2,R,67,R,26,R,209,R,17,R,352,2006
9150,110583,11,18,R,1,R,1,R,23,R,17,R,3,R,2,R,87,R,85,R,44,R,34,R,393,R,335,R,7,R,2,R,558,R,476,R,2,R,40,R,5,R,172,R,78,R,728,R,9,R,1034,2006
