,unitid,sabdtype,line,xstaff01,staff01,xstaff02,staff02,xstaff03,staff03,xstaff04,staff04,xstaff05,staff05,xstaff06,staff06,xstaff07,staff07,xstaff08,staff08,xstaff09,staff09,xstaff10,staff10,xstaff11,staff11,xstaff12,staff12,xstaff13,staff13,xstaff14,staff14,xstaff15,staff15,xstaff16,staff16,xstaff17,staff17,xstaff18,staff18,xstaff19,staff19,xstaff20,staff20,xstaff21,staff21,xstaff22,staff22,xstaff23,staff23,xstaff24,staff24,Year
2472,104151,11,18,R,79,R,19,R,22,R,18,R,4,R,7,R,91,R,38,R,57,R,40,R,836,R,484,Z,0,Z,0,R,1089,R,606,R,98,R,40,R,11,R,129,R,97,R,1320,Z,0,R,1695,2002
2544,104179,11,18,R,71,R,21,R,15,R,10,R,9,R,9,R,76,R,30,R,67,R,35,R,1098,R,522,R,34,R,27,R,1370,R,654,R,92,R,25,R,18,R,106,R,102,R,1620,R,61,R,2024,2002
2615,104586,11,18,Z,0,Z,0,Z,0,Z,0,R,1,R,1,R,1,R,1,R,1,Z,0,R,53,R,10,Z,0,Z,0,R,56,R,12,Z,0,Z,0,R,2,R,2,R,1,R,63,Z,0,R,68,2002
2667,105206,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,28,R,32,R,1,R,1,R,31,R,33,Z,0,R,1,Z,0,Z,0,R,1,R,60,R,2,R,64,2002
2701,105330,11,18,R,9,R,7,R,5,R,2,R,6,R,14,R,6,R,7,R,13,R,18,R,368,R,231,R,9,R,3,R,416,R,282,R,16,R,7,R,20,R,13,R,31,R,599,R,12,R,698,2002
2765,106397,11,18,R,32,R,11,R,27,R,26,R,14,R,7,R,30,R,9,R,5,R,2,R,669,R,377,R,3,R,7,R,780,R,439,R,43,R,53,R,21,R,39,R,7,R,1046,R,10,R,1219,2002
2836,106458,11,18,R,0,R,0,R,11,R,10,R,0,R,1,R,10,R,3,R,2,R,1,R,224,R,170,R,0,R,0,R,247,R,185,Z,0,R,21,R,1,R,13,R,3,R,394,Z,0,R,432,2002
2898,106467,11,18,R,0,R,0,R,1,R,0,R,0,R,0,R,10,R,2,R,3,R,1,R,108,R,84,R,0,R,0,R,122,R,87,Z,0,R,1,Z,0,R,12,R,4,R,192,Z,0,R,209,2002
2958,106485,11,18,Z,0,Z,0,Z,0,R,6,Z,0,Z,0,R,2,Z,0,Z,0,R,1,R,69,R,41,Z,0,Z,0,R,71,R,48,Z,0,R,6,Z,0,R,2,R,1,R,110,Z,0,R,119,2002
3010,106795,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,15,R,18,Z,0,Z,0,R,16,R,18,Z,0,Z,0,Z,0,Z,0,R,1,R,33,Z,0,R,34,2002
3053,107318,11,18,Z,0,Z,0,R,3,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9,R,8,Z,0,Z,0,R,12,R,9,Z,0,R,4,Z,0,Z,0,Z,0,R,17,Z,0,R,21,2002
3098,107327,11,18,Z,0,Z,0,Z,0,R,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,17,R,25,Z,0,Z,0,R,19,R,28,Z,0,R,3,R,1,R,1,Z,0,R,42,Z,0,R,47,2002
3142,107521,11,18,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,14,R,17,Z,0,Z,0,R,14,R,19,Z,0,R,2,Z,0,Z,0,Z,0,R,31,Z,0,R,33,2002
3186,107549,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,11,R,14,Z,0,Z,0,R,11,R,15,Z,0,Z,0,R,1,Z,0,Z,0,R,25,Z,0,R,26,2002
3225,107558,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,32,R,9,Z,0,Z,0,R,32,R,11,Z,0,Z,0,Z,0,R,1,R,1,R,41,Z,0,R,43,2002
3263,107637,11,18,Z,0,Z,0,R,1,R,8,Z,0,R,1,R,1,Z,0,Z,0,R,1,R,17,R,19,Z,0,Z,0,R,19,R,29,Z,0,R,9,R,1,R,1,R,1,R,36,Z,0,R,48,2002
3301,107743,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,R,11,Z,0,Z,0,R,10,R,11,Z,0,Z,0,Z,0,Z,0,Z,0,R,21,Z,0,R,21,2002
3338,107974,11,18,Z,0,Z,0,Z,0,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,19,R,28,Z,0,Z,0,R,19,R,33,Z,0,R,5,Z,0,Z,0,Z,0,R,47,Z,0,R,52,2002
3384,107983,11,18,Z,0,Z,0,R,6,R,5,Z,0,Z,0,R,6,Z,0,R,1,R,1,R,75,R,45,Z,0,Z,0,R,88,R,51,Z,0,R,11,Z,0,R,6,R,2,R,120,Z,0,R,139,2002
3435,107992,11,18,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,13,R,14,Z,0,Z,0,R,14,R,16,Z,0,R,2,Z,0,R,1,Z,0,R,27,Z,0,R,30,2002
3475,108092,11,18,R,1,R,1,R,1,R,2,R,2,R,1,R,1,Z,0,Z,0,R,2,R,85,R,63,Z,0,Z,0,R,90,R,69,R,2,R,3,R,3,R,1,R,2,R,148,Z,0,R,159,2002
3526,108269,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,31,R,11,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,32,R,11,Z,0,Z,0,Z,0,R,42,Z,0,R,1,Z,0,R,43,2002
3542,108667,11,18,R,1,R,1,R,13,R,10,R,0,R,0,R,1,R,5,R,7,R,2,R,22,R,12,R,0,R,0,R,44,R,30,R,2,R,23,Z,0,R,6,R,9,R,34,Z,0,R,74,2002
3588,108807,11,18,R,2,R,1,R,4,R,2,R,1,R,1,R,2,R,2,R,10,R,9,R,71,R,65,R,0,R,0,R,90,R,80,R,3,R,6,R,2,R,4,R,19,R,136,Z,0,R,170,2002
3644,109013,11,18,Z,0,Z,0,R,2,Z,0,Z,0,R,1,R,2,Z,0,Z,0,Z,0,R,15,R,4,Z,0,Z,0,R,19,R,5,Z,0,R,2,R,1,R,2,Z,0,R,19,Z,0,R,24,2002
3677,109208,11,18,R,0,R,0,R,13,R,8,R,9,R,1,R,11,R,22,R,13,R,16,R,128,R,127,R,4,R,2,R,178,R,176,Z,0,R,21,R,10,R,33,R,29,R,255,R,6,R,354,2002
3731,109350,11,18,R,0,R,0,R,6,R,6,R,0,R,0,R,3,R,3,R,3,R,6,R,63,R,57,R,2,R,2,R,77,R,74,Z,0,R,12,Z,0,R,6,R,9,R,120,R,4,R,151,2002
3787,109819,11,18,R,8,R,4,R,5,R,7,R,2,R,1,R,3,R,4,R,14,R,13,R,85,R,81,R,4,R,6,R,121,R,116,R,12,R,12,R,3,R,7,R,27,R,166,R,10,R,237,2002
3838,109907,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,Z,0,R,4,Z,0,R,14,R,10,Z,0,Z,0,R,21,R,10,Z,0,Z,0,Z,0,R,3,R,4,R,24,Z,0,R,31,2002
3879,110051,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,1,Z,0,R,1,Z,0,R,13,R,5,Z,0,Z,0,R,15,R,6,Z,0,R,1,Z,0,R,1,R,1,R,18,Z,0,R,21,2002
3920,110097,11,18,R,2,R,0,R,0,R,1,R,0,R,0,R,5,R,2,R,4,R,2,R,113,R,33,R,0,R,0,R,124,R,38,R,2,R,1,Z,0,R,7,R,6,R,146,Z,0,R,162,2002
3974,110246,11,18,R,0,R,0,R,3,R,0,R,3,R,0,R,5,R,4,R,3,R,8,R,92,R,76,R,0,R,0,R,106,R,88,Z,0,R,3,R,3,R,9,R,11,R,168,Z,0,R,194,2002
4033,110334,11,18,R,2,R,3,R,0,R,3,R,0,R,0,R,4,R,4,R,10,R,18,R,100,R,119,R,1,R,1,R,117,R,148,R,5,R,3,Z,0,R,8,R,28,R,219,R,2,R,265,2002
4081,110440,11,18,Z,0,Z,0,R,1,R,1,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,4,R,7,Z,0,R,1,R,6,R,9,Z,0,R,2,Z,0,R,1,Z,0,R,11,R,1,R,15,2002
4114,110459,11,18,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,19,R,13,R,19,R,14,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,32,R,33,2002
4147,110468,11,18,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,2,R,4,Z,0,R,1,R,28,R,12,R,5,R,6,R,36,R,23,Z,0,R,1,Z,0,R,6,R,1,R,40,R,11,R,59,2002
4193,110477,11,18,Z,0,Z,0,Z,0,R,3,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,R,7,R,8,R,2,R,2,R,10,R,13,Z,0,R,3,Z,0,R,1,Z,0,R,15,R,4,R,23,2002
4219,110778,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,1,Z,0,Z,0,R,5,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,6,Z,0,R,6,2002
4250,111434,11,18,R,0,R,0,R,2,R,3,R,0,R,0,R,4,R,4,R,7,R,7,R,25,R,33,R,0,R,1,R,38,R,48,Z,0,R,5,Z,0,R,8,R,14,R,58,R,1,R,86,2002
4296,111887,11,18,R,0,R,1,R,6,R,9,R,0,R,2,R,8,R,12,R,18,R,24,R,112,R,98,R,0,R,0,R,144,R,146,R,1,R,15,R,2,R,20,R,42,R,210,Z,0,R,290,2002
4348,111920,11,18,R,10,R,5,R,6,R,7,R,0,R,0,R,11,R,6,R,11,R,9,R,73,R,69,R,0,R,0,R,111,R,96,R,15,R,13,Z,0,R,17,R,20,R,142,Z,0,R,207,2002
4390,111939,11,18,R,1,R,1,R,4,R,10,R,2,R,1,R,4,R,6,R,12,R,14,R,65,R,86,R,0,R,0,R,88,R,118,R,2,R,14,R,3,R,10,R,26,R,151,Z,0,R,206,2002
4443,111948,11,18,R,0,R,0,R,4,R,5,R,1,R,0,R,6,R,6,R,3,R,5,R,121,R,69,R,0,R,0,R,135,R,85,Z,0,R,9,R,1,R,12,R,8,R,190,Z,0,R,220,2002
4500,112084,11,18,R,1,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,17,R,12,Z,0,Z,0,R,20,R,15,R,3,R,2,Z,0,R,1,Z,0,R,29,Z,0,R,35,2002
4540,112172,11,18,R,0,R,1,R,3,R,7,R,1,R,3,R,5,R,5,R,16,R,7,R,78,R,54,R,0,R,0,R,103,R,77,R,1,R,10,R,4,R,10,R,23,R,132,Z,0,R,180,2002
4596,112190,11,18,R,20,R,19,R,27,R,30,R,3,R,4,R,51,R,89,R,33,R,29,R,189,R,246,R,1,R,5,R,324,R,422,R,39,R,57,R,7,R,140,R,62,R,435,R,6,R,746,2002
4647,112251,11,18,Z,0,Z,0,R,2,R,1,Z,0,Z,0,R,8,R,3,R,1,R,1,R,37,R,15,Z,0,Z,0,R,48,R,20,Z,0,R,3,Z,0,R,11,R,2,R,52,Z,0,R,68,2002
4685,112376,11,18,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,2,R,14,R,0,R,0,R,3,R,15,R,1,Z,0,Z,0,R,1,Z,0,R,16,Z,0,R,18,2002
4725,112385,11,18,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,4,R,0,R,3,R,8,R,31,R,0,R,0,R,9,R,38,Z,0,Z,0,Z,0,R,5,R,3,R,39,Z,0,R,47,2002
4769,112525,11,18,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,R,10,R,8,R,4,R,1,R,39,R,26,Z,0,Z,0,R,53,R,37,Z,0,R,2,Z,0,R,18,R,5,R,65,Z,0,R,90,2002
4824,112561,11,18,R,0,R,1,R,0,R,0,R,0,R,0,R,1,R,1,R,2,R,2,R,27,R,25,R,1,R,1,R,31,R,30,R,1,Z,0,Z,0,R,2,R,4,R,52,R,2,R,61,2002
4877,113096,11,18,R,0,R,2,R,9,R,11,R,4,R,1,R,11,R,9,R,9,R,19,R,70,R,71,R,3,R,2,R,106,R,115,R,2,R,20,R,5,R,20,R,28,R,141,R,5,R,221,2002
4930,113193,11,18,R,0,R,1,R,1,R,0,R,0,R,1,R,2,R,0,R,7,R,3,R,77,R,81,R,0,R,0,R,87,R,86,R,1,R,1,R,1,R,2,R,10,R,158,Z,0,R,173,2002
4989,113218,11,18,R,1,R,3,R,0,R,2,R,0,R,1,R,3,R,3,R,3,R,5,R,39,R,42,R,1,R,0,R,47,R,56,R,4,R,2,R,1,R,6,R,8,R,81,R,1,R,103,2002
5042,113333,11,18,R,0,R,2,R,12,R,10,R,1,R,3,R,25,R,29,R,15,R,18,R,125,R,147,R,15,R,17,R,193,R,226,R,2,R,22,R,4,R,54,R,33,R,272,R,32,R,419,2002
5097,113573,11,18,R,1,R,0,R,2,R,4,R,0,R,1,R,3,R,0,R,5,R,3,R,53,R,43,R,0,R,0,R,64,R,51,R,1,R,6,R,1,R,3,R,8,R,96,Z,0,R,115,2002
5148,113704,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,11,R,1,Z,0,Z,0,R,11,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,12,Z,0,R,12,2002
5169,113856,11,18,R,0,R,1,R,4,R,7,R,0,R,0,R,18,R,17,R,42,R,36,R,75,R,55,R,0,R,0,R,139,R,116,R,1,R,11,Z,0,R,35,R,78,R,130,Z,0,R,255,2002
5224,113980,11,18,R,3,R,5,R,13,R,10,R,1,R,1,R,11,R,14,R,11,R,16,R,139,R,126,R,0,R,0,R,178,R,172,R,8,R,23,R,2,R,25,R,27,R,265,Z,0,R,350,2002
5284,114354,11,18,Z,0,Z,0,R,1,R,2,Z,0,Z,0,Z,0,R,1,R,1,R,4,R,17,R,19,Z,0,Z,0,R,19,R,26,Z,0,R,3,Z,0,R,1,R,5,R,36,Z,0,R,45,2002
5338,114390,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,3,R,7,Z,0,Z,0,R,3,R,8,Z,0,Z,0,Z,0,R,1,Z,0,R,10,Z,0,R,11,2002
5380,114415,11,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,Z,0,R,4,2002
